[2026-08-27 18:22:48.304461] [0x000053e4] [trace]   Initializing StaticPrintConfigs
[2026-08-27 18:22:48.312461] [0x000053e4] [warning] cli mode, Current AnycubicSlicerNext Version 1.4.1.2
[2026-08-27 18:22:48.312656] [0x000053e4] [info]    Will start to read model file now, file count :1

[2026-08-27 18:22:48.312768] [0x000053e4] [info]    allow_multicolor_oneplate 1, allow_rotations 1 skip_modified_gcodes 0 avoid_extrusion_cali_region 0 loaded_filament_ids size 0, clone_objects size 0, skip_useless_pick 0, allow_newer_file 0
[2026-08-27 18:22:48.312768] [0x000053e4] [info]    plate_to_slice=0, normative_check=1, use_first_fila_as_default=0
[2026-08-27 18:22:48.312768] [0x000053e4] [info]    read model file:C:\Users\h4rds\Documents\spuelenablage.3mf

[2026-08-27 18:22:48.313273] [0x000053e4] [info]    model 0000002AEB6CD3A0, id 3, backup_path empty, set to C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3
[2026-08-27 18:22:48.313273] [0x000053e4] [info]    create /3D/Objects in "C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3"
[2026-08-27 18:22:48.313773] [0x000053e4] [info]    create /Metadata in "C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3"
[2026-08-27 18:22:48.314272] [0x000053e4] [info]    create /lock.txt in "C:\Users\h4rds\AppData\Local\Temp/anycubicslicer_model/08_27_4/18_22_48#20648#3"
[2026-08-27 18:22:48.314772] [0x000053e4] [info]    Slic3r::_BBS_3MF_Importer::_load_model_from_file:1609import 3mf IMPORT_STAGE_OPEN, m_load_restore=0

[2026-08-27 18:22:48.314772] [0x000053e4] [info]    Slic3r::_BBS_3MF_Importer::_load_model_from_file:1645import 3mf IMPORT_STAGE_READ_FILES

[2026-08-27 18:22:49.490279] [0x000053e4] [info]    load_3mf found metadata key = Application, value = BambuStudio-1.4.1.2
[2026-08-27 18:22:49.490279] [0x000053e4] [info]    load_3mf found metadata key = BambuStudio:3mfVersion, value = 1
[2026-08-27 18:22:49.490279] [0x000053e4] [info]    load_3mf found metadata key = Copyright, value = 
[2026-08-27 18:22:49.490279] [0x000053e4] [info]    load_3mf found metadata key = CreationDate, value = 2026-08-27
[2026-08-27 18:22:49.490781] [0x000053e4] [info]    load_3mf found metadata key = Description, value = 
[2026-08-27 18:22:49.490781] [0x000053e4] [info]    load_3mf found metadata key = Designer, value = 
[2026-08-27 18:22:49.490781] [0x000053e4] [info]    load_3mf found metadata key = DesignerCover, value = 
[2026-08-27 18:22:49.490781] [0x000053e4] [info]    load_3mf found metadata key = DesignerUserId, value = 
[2026-08-27 18:22:49.490781] [0x000053e4] [info]    load_3mf found metadata key = License, value = 
[2026-08-27 18:22:49.491279] [0x000053e4] [info]    load_3mf found metadata key = ModificationDate, value = 2026-08-27
[2026-08-27 18:22:49.491279] [0x000053e4] [info]    load_3mf found metadata key = Origin, value = 
[2026-08-27 18:22:49.491279] [0x000053e4] [info]    load_3mf found metadata key = Thumbnail_Middle, value = /Metadata/plate_1.png
